"iso_code";"country";"region";"income_status";"education_expenditure";"youth_unemployment_rate";"net_migration_rate"
"KOR";"Korea, South";"Asia";"High-income countries";4,3;10,2;2,3
"TUR";"Turkey (Turkiye)";"Asia";"Upper-middle-income countries";4,3;20,2;-4,3
"MYS";"Malaysia";"Asia";"Upper-middle-income countries";4,2;10,5;-0,3
"WSM";"Samoa";"Oceania";"Upper-middle-income countries";4,2;31,9;-8,1
"ESP";"Spain";"Europe";"High-income countries";4,2;34,3;7
"VNM";"Vietnam";"Asia";"Lower-middle-income countries";4,2;6,9;-0,3
"AFG";"Afghanistan";"Asia";"Low-income countries";4,1;17,6;-0,1
"BGR";"Bulgaria";"Europe";"High-income countries";4,1;12,7;-0,3
"MDV";"Maldives";"Asia";"Upper-middle-income countries";4,1;15,9;-12,7
"MNG";"Mongolia";"Asia";"Upper-middle-income countries";4,1;16,8;-0,8
"THA";"Thailand";"Asia";"Upper-middle-income countries";4,1;3,7;0
"GHA";"Ghana";"Africa";"Lower-middle-income countries";4;9,1;-1,6
"IRN";"Iran";"Asia";"Upper-middle-income countries";4;27,6;-0,3
"ITA";"Italy";"Europe";"High-income countries";4;32,2;3,2
"HRV";"Croatia";"Europe";"High-income countries";3,9;23,7;-1
"CZE";"Czechia";"Europe";"High-income countries";3,9;6,7;2,3
"FJI";"Fiji";"Oceania";"Upper-middle-income countries";3,9;15,4;-6,2
"SVK";"Slovakia";"Europe";"High-income countries";3,9;14,9;0,2
"HKG";"Hong Kong";"Asia";"High-income countries";3,8;8,7;1,7
"IND";"India";"Asia";"Lower-middle-income countries";3,8;22,5;0
"LTU";"Lithuania";"Europe";"High-income countries";3,8;11,1;-5,9
"MLI";"Mali";"Africa";"Low-income countries";3,8;16,9;-3,9
"PER";"Peru";"South America";"Upper-middle-income countries";3,8;14,7;-1,8
"ALB";"Albania";"Europe";"Upper-middle-income countries";3,6;31,9;-3,3
"DJI";"Djibouti";"Africa";"Lower-middle-income countries";3,6;.;5,1
"SLV";"El Salvador";"North America";"Upper-middle-income countries";3,6;9,6;-4,8
"IDN";"Indonesia";"Asia";"Upper-middle-income countries";3,6;16,5;-1,1
"LUX";"Luxembourg";"Europe";"High-income countries";3,6;14,2;13,3
"SMR";"San Marino";"Europe";"High-income countries";3,6;27,4;6,6
"SRB";"Serbia";"Europe";"Upper-middle-income countries";3,6;29,7;0
"COG";"Congo, Republic of the";"Africa";"Lower-middle-income countries";3,5;.;-0,9
"GEO";"Georgia";"Asia";"Upper-middle-income countries";3,5;29,9;0,1
"IRL";"Ireland";"Europe";"High-income countries";3,5;13,8;3,9
"NER";"Niger";"Africa";"Low-income countries";3,5;0,7;-0,7
